Date y-m-d,High,Low,Wind mph,UV Index,Pressure hPa,Humidity %,Obs

2025-12-13,5,2,4,1,1029,88,cloudy/morning frost
2025-12-12,11,4,11,0,1017,89,cloudy/morning rain
2025-12-11,11,7,15,0,1018,86,partly cloudy/windy
2025-12-10,11,7,19,0,1013,84,mostly sunny/windy
2025-12-09,14,9,24,1,1002,86,cloudy/morning rain/wind/storm BRAM
2025-12-08,12,9,16,0,1006,86,mostly cloudy/windy
2025-12-07,13,6,23,1,1000,92,cloudy/rain/windy
2025-12-06,11,8,19,1,994,86,mostly cloudy/windy
2025-12-05,9,1,23,0,1001,89,frost morning/partly cloudy/windy/rain evening
2025-12-04,8,3,15,0,998,90,cloudy/rain
2025-12-03,8,3,12,1,1006,87,partly cloudy/morning fog
2025-12-02,9,6,12,1,1001,86,mostly sunny
2025-12-01,12,6,25,1,999,91,cloudy/windy/rain
*,*,*,*,*,*,*,December
2025-11-30,7,2,14,1,1011,84,sunny
2025-11-29,10,4,15,1,1001,90,cloudy/windy/rain
2025-11-28,11,7,21,1,1010,84,mostly cloudy/windy
2025-11-27,13,9,14,1,1012,91,partly cloudy
2025-11-26,8,-1,14,1,1020,85,partly cloudy/evening rain
2025-11-25,7,2,14,1,1014,81,mostly cloudy
2025-11-24,7,3,16,1,994,89,mostly cloudy
2025-11-23,8,4,18,1,998,85,mostly sunny/morning rain/windy
2025-11-22,8,1,18,1,1016,90,cloudy/rain/windy
2025-11-21,5,0,11,1,1026,84,sunny
2025-11-20,4,-2,14,1,1015,75,partly cloudy
2025-11-19,4,-1,20,1,1009,81,partly cloudy/morning rain/windy
2025-11-18,7,0,12,1,1016,84,mostly sunny/rain afternoon
2025-11-17,8,2,14,1,1022,78,sunny
2025-11-16,9,5,12,1,1013,82,partly cloudy
2025-11-15,12,9,12,1,1009,93,cloudy
2025-11-14,11,10,23,1,1003,92,RAIN/storm CLAUDIA
2025-11-13,14,11,13,1,1006,87,sunny/rain evening
2025-11-12,14,12,19,1,1002,90,cloudy/windy/rain morning
2025-11-11,14,7,21,1,1004,88,mostly cloudy/windy/rain evening
2025-11-10,13,8,13,1,1004,89,cloudy/rain
2025-11-09,14,6,14,1,1014,86,mostly cloudy/rain evening
2025-11-08,15,7,10,1,1012,82,mostly cloudy
2025-11-07,15,11,10,1,1005,89,cloudy/afternoon rain
2025-11-06,16,12,9,1,1005,87,mostly cloudy/morning rain
2025-11-05,17,14,17,1,1007,78,mostly cloudy
2025-11-04,15,13,19,1,1009,81,partly cloudy/windy
2025-11-03,15,7,20,1,1010,81,cloudy/windy
2025-11-02,11,6,14,1,1007,79,mostly sunny
2025-11-01,13,7,21,1,1000,80,partly cloudy/windy/evening rain
*,*,*,*,*,*,*,November
2025-10-31,15,12,21,1,1000,87,cloudy/windy/rain evening
2025-10-30,12,6,18,1,1005,83,cloudy/windy/rain
2025-10-29,11,6,13,1,1000,89,cloudy/rain/windy
2025-10-28,14,10,19,1,1005,73,partly cloudy/windy
2025-10-27,13,8,21,2,1005,71,cloudy/rain morning/windy
2025-10-26,11,4,17,1,1007,79,mostly cloudy/windy
2025-10-25,10,6,18,2,1002,73,partly cloudy/windy
2025-10-24,12,5,16,2,997,78,partly cloudy/windy/rain evening
2025-10-23,12,7,24,1,986,78,cloudy/rain/wind
2025-10-22,13,8,15,2,995,82,cloudy/rain evening
2025-10-21,14,10,15,2,991,87,mostly cloudy
2025-10-20,15,12,13,2,989,89,cloudy/rain
2025-10-19,15,10,16,2,1005,85,cloudy/rain afternoon
2025-10-18,14,9,11,2,1023,74,cloudy
2025-10-17,14,9,6,2,1026,79,cloudy
2025-10-16,15,10,5,2,1029,78,cloudy
2025-10-15,13,9,8,2,1031,79,cloudy
2025-10-14,15,10,7,2,1031,83,cloudy/drizzle ;(
2025-10-13,16,10,8,2,1031,87,cloudy/drizzle morning
2025-10-12,16,5,6,2,1033,82,cloudy/morning fog
2025-10-11,16,7,5,2,1034,80,cloudy
2025-10-10,17,10,7,2,1033,79,cloudy
2025-10-09,17,7,11,3,1028,76,mostly cloudy
2025-10-08,17,9,10,2,1024,75,partly cloudy
2025-10-07,17,11,12,3,1023,77,cloudy
2025-10-06,20,10,11,3,1023,73,sunny
2025-10-05,15,9,20,2,1015,68,partly cloudy/windy
2025-10-04,16,10,29,2,999,73,partly cloudy/WIND/some rain
2025-10-03,18,14,25,3,1009,93,cloudy/WIND/rain
2025-10-02,19,10,16,3,1021,76,cloudy
2025-10-01,19,8,5,3,1025,67,partly cloudy
*,*,*,*,*,*,*,October
2025-09-30,18,6,6,3,1026,68,partly cloudy
2025-09-29,17,5,5,3,1025,71,sunny morning/cloudy afternoon
2025-09-28,17,9,7,3,1021,77,morning rain/partly cloudy
2025-09-27,16,8,13,3,1019,71,cloudy
2025-09-26,16,7,10,3,1023,70,cloudy
2025-09-25,18,8,13,3,1026,62,sunny
2025-09-24,17,8,12,3,1028,70,partly cloudy
2025-09-23,16,5,11,3,1029,66,partly cloudy
2025-09-22,15,5,11,3,1028,62,sunny
2025-09-21,14,8,21,3,1017,65,mostly sunny/morning windy
2025-09-20,20,12,20,3,1008,80,partly cloudy/wind/evening rain
2025-09-19,24,15,13,4,1017,73,mostly sunny
2025-09-18,22,17,17,3,1017,82,cloudy/windy
2025-09-17,20,11,18,3,1015,84,cloudy/windy/some rain
2025-09-16,18,12,18,3,1015,65,partly cloudy/windy
2025-09-15,17,13,27,3,1001,71,partly cloudy/WIND
2025-09-14,17,8,19,3,1007,80,mostly cloudy/windy/rain afternoon
2025-09-13,16,10,16,3,1007,72,mostly sunny/windy/some showers afternoon
2025-09-12,17,10,18,4,1008,68,mostly sunny/windy
2025-09-11,17,11,19,4,1001,71,partly cloudy/windy/some rain
2025-09-10,18,13,14,3,1003,78,mostly cloudy/rain/windy
2025-09-09,20,8,11,4,1015,63,partly sunny
2025-09-08,20,13,12,4,1015,61,mostly sunny
2025-09-07,24,15,15,4,1008,68,partly cloudy/windy
2025-09-06,22,11,13,3,1018,69,mostly cloudy/windy
2025-09-05,20,10,10,4,1018,68,mostly sunny
2025-09-04,18,12,15,3,1005,73,partly cloudy/windy/morning heavy rain
2025-09-03,19,15,20,3,995,82,partly cloudy/windy/morning rain
2025-09-02,18,11,12,3,1002,79,mostly cloudy/rain afternoon
2025-09-01,20,13,18,3,1001,70,partly cloudy/windy/some drizzle
*,*,*,*,*,*,*,September
2025-08-31,20,13,18,4,1002,68,mostly sunny/windy
2025-08-30,21,13,18,4,1001,71,partly cloudy morning/rain/windy
2025-08-29,19,13,10,3,996,79,cloudy/rain
2025-08-28,19,11,15,4,1001,71,partly cloudy/windy/showers evening
2025-08-27,20,14,17,4,1004,72,partly cloudy/windy/showers afternoon
2025-08-26,24,15,17,4,1006,59,mostly sunny/windy
2025-08-25,26,12,12,6,1015,49,sunny/windy afternoon
2025-08-24,24,13,8,4,1020,59,cloudy
2025-08-23,21,13,7,4,1021,64,partly cloudy
2025-08-22,21,8,17,4,1021,59,mostly cloudy/windy
2025-08-21,21,11,15,4,1019,60,partly cloudy/windy
2025-08-20,21,14,14,5,1018,63,morning rain/windy
2025-08-19,21,15,15,4,1018,71,morning cloudy/afternoon mostly sunny/windy
2025-08-18,23,16,13,4,1022,68,cloudy/windy
2025-08-17,25,11,12,7,1025,62,sunny
2025-08-16,24,14,13,5,1028,62,cloudy
2025-08-15,28,16,12,6,1025,57,sunny
2025-08-14,26,16,13,4,1017,62,mostly sunny
2025-08-13,30,15,13,4,1013,54,mostly cloudy
2025-08-12,31,17,9,6,1015,49,mostly sunny/night showers
2025-08-11,28,14,9,5,1022,50,mostly cloudy
2025-08-10,25,12,7,6,1026,55,sunny
2025-08-09,25,12,16,6,1020,53,mostly sunny/windy
2025-08-08,24,13,11,6,1017,53,mostly sunny
2025-08-07,22,14,16,4,1014,66,mostly cloudy/windy
2025-08-06,23,10,9,5,1023,52,partly cloudy
2025-08-05,21,12,19,4,1021,54,sunny/windy
2025-08-04,22,14,22,4,1014,74,partly cloudy/showers/windy
2025-08-03,23,11,14,4,1018,73,cloudy/light rain midday
2025-08-02,21,12,9,4,1018,59,mostly cloudy
2025-08-01,20,13,10,4,1016,68,mostly cloudy/showers
*,*,*,*,*,*,*,August
2025-07-31,23,15,13,4,1016,67,partly cloudy/mornig light rain/windy
2025-07-30,23,15,12,4,1018,67,mostly cloudy
2025-07-29,20,12,7,4,1019,71,cloudy/morning drizzle
2025-07-28,23,13,9,4,1020,61,mostly sunny
2025-07-27,21,13,11,4,1017,60,partly cloudy
2025-07-26,22,15,11,4,1016,70,cloudy
2025-07-25,27,13,10,6,1018,58,sunny
2025-07-24,21,15,12,4,1018,73,cloudy/drizzle afternoon
2025-07-23,22,13,9,4,1014,63,cloudy
2025-07-22,21,14,10,4,1009,75,mostly cloudy/morning drizzle
2025-07-21,21,12,6,4,1001,69,sunny
2025-07-20,20,14,12,4,1000,80,mostly sunny/showers
2025-07-19,21,16,6,4,1005,85,cloudy/rain
2025-07-18,27,18,8,7,1012,59,sunny
2025-07-17,24,14,6,4,1016,75,cloudy/morning drizzle
2025-07-16,23,14,15,5,1015,62,cloudy/windy
2025-07-15,20,12,17,4,1013,67,cloudy/afternoon showers/windy
2025-07-14,24,14,17,5,1012,57,mostly cloudy/windy
2025-07-13,26,14,10,5,1013,59,mostly cloudy
2025-07-12,28,16,13,7,1017,49,sunny
2025-07-11,30,15,9,7,1020,52,sunny
2025-07-10,28,14,7,7,1022,51,sunny
2025-07-09,26,11,9,5,1021,62,mostly sunny
2025-07-08,21,10,13,7,1017,56,mostly sunny
2025-07-07,20,12,16,5,1011,63,night rain/mostly sunny/windy
2025-07-06,21,14,14,4,1006,72,cloudy/windy
2025-07-05,22,15,17,4,1015,71,cloudy/windy
2025-07-04,26,11,18,6,1025,45,partly cloudy/windy
2025-07-03,22,10,10,5,1027,46,mostly sunny
2025-07-02,22,12,17,5,1018,64,morning cloudy drizzle/afternoon sunny/windy
2025-07-01,30,18,8,5,1014,59,partly cloudy
*,*,*,*,*,*,*,July
2025-06-30,31,17,12,7,1018,52,mostly sunny
2025-06-29,27,17,8,5,1024,61,cloudy
2025-06-28,28,19,17,7,1022,60,partly cloudy/windy
2025-06-27,26,12,16,5,1018,60,mostly sunny/windy
2025-06-26,24,15,19,6,1011,61,mostly cloudy/windy
2025-06-25,25,16,10,5,1011,63,mostly cloudy/windy
2025-06-24,24,13,19,5,1011,68,cloudy/windy
2025-06-23,20,12,17,5,1012,54,partly cloudy/windy
2025-06-22,23,16,20,4,1012,58,mostly sunny/wind
2025-06-21,30,14,11,5,1017,48,mostly sunny/showers afternoon
2025-06-20,28,15,11,4,1023,53,mostly sunny
2025-06-19,29,14,9,8,1025,63,sunny
2025-06-18,26,13,8,7,1024,58,sunny
2025-06-17,26,12,12,5,1025,52,mostly sunny
2025-06-16,25,12,8,7,1027,58,sunny
2025-06-15,23,11,14,4,1021,59,mostly sunny/windy
2025-06-14,23,14,18,6,1014,61,sunny/wind
2025-06-13,25,14,12,6,1017,59,partly cloudy/windy morning/night rain
2025-06-12,23,12,15,5,1013,65,mostly cloudy/windy
2025-06-11,23,9,13,6,1019,63,mostly sunny/windy
2025-06-10,20,11,14,5,1016,62,mostly sunny/windy
2025-06-09,18,9,12,4,1020,67,cloudy/windy
2025-06-08,16,8,15,4,1015,63,partly cloudy/windy
2025-06-07,15,9,13,4,1006,76,cloudy/evening thunderstorm/windy
2025-06-06,17,10,14,5,1005,67,mostly cloudy/some light rain/windy
2025-06-05,16,11,14,4,1002,81,cloudy/light rain/windy
2025-06-04,17,9,15,4,1005,57,mostly cloudy/windy
2025-06-03,19,10,21,5,1005,68,cloudy/windy/morning rain
2025-06-02,19,9,12,4,1015,53,partly cloudy/windy
2025-06-01,19,11,19,4,1013,58,mostly sunny/windy
*,*,*,*,*,*,*,June
2025-05-31,24,13,14,6,1016,63,partly cloudy/windy
2025-05-30,21,13,14,4,1018,68,partly cloudy/windy
2025-05-29,21,12,19,4,1017,72,partly cloudy/windy
2025-05-28,18,12,15,4,1015,71,mostly cloudy/windy/afternoon showers
2025-05-27,16,12,18,4,1010,80,cloudy/windy/rain afternoon
2025-05-26,16,9,19,3,1013,61,mostly cloudy/windy/showers
2025-05-25,17,11,18,5,1008,59,sunny/windy
2025-05-24,21,11,16,4,1011,72,cloudy/morning rain
2025-05-23,19,3,10,4,1019,52,cloudy
2025-05-22,14,5,7,3,1020,68,cloudy
2025-05-21,19,8,12,3,1017,59,partly cloudy
2025-05-20,19,7,6,6,1021,56,partly cloudy
2025-05-19,18,6,11,4,1021,64,partly cloudy
2025-05-18,18,7,11,4,1021,62,partly cloudy
2025-05-17,19,8,10,6,1023,59,mostly sunny
2025-05-16,19,6,12,6,1028,57,sunny
2025-05-15,17,7,15,5,1025,62,cloudy/windy
2025-05-14,20,7,13,5,1022,53,sunny/windy
2025-05-13,23,10,13,6,1018,47,sunny/windy
2025-05-12,23,11,12,5,1012,55,mostly sunny/windy
2025-05-11,23,7,13,5,1013,51,mostly sunnny/windy
2025-05-10,20,5,11,5,1018,51,sunny
2025-05-09,18,4,11,5,1021,55,mostly sunny
2025-05-08,15,6,11,4,1022,61,mostly cloudy
2025-05-07,15,3,12,4,1024,60,mostly cloudy
2025-05-06,14,5,10,4,1026,61,cloudy
2025-05-05,14,4,18,4,1023,55,cloudy/windy
2025-05-04,12,5,14,3,1019,58,cloudy/windy
2025-05-03,17,7,14,5,1014,59,partly sunny/windy
2025-05-02,21,11,9,5,1016,58,mostly sunny/evening cloudy
2025-05-01,25,8,7,5,1017,52,sunny
*,*,*,*,*,*,*,May
2025-04-30,23,6,5,6,1023,53,sunny
2025-04-29,22,8,9,5,1026,52,sunny
2025-04-28,22,7,6,4,1027,59,sunny
2025-04-27,19,7,8,4,1025,63,mostly sunny
2025-04-26,16,4,5,3,1023,72,mostly cloudy
2025-04-25,15,3,7,4,1023,65,mostly cloudy
2025-04-24,14,6,9,4,1022,67,cloudy
2025-04-23,15,8,14,3,1014,72,partly cloudy/morning rain
2025-04-22,15,5,11,3,1015,65,partly cloudy
2025-04-21,13,7,6,3,1009,81,cloudy/showers
2025-04-20,15,5,10,4,1008,62,mostly cloudy
2025-04-19,16,6,16,3,1009,64,cloudy/windy/some rain
2025-04-18,16,6,17,3,1011,60,cloudy/windy
2025-04-17,15,3,6,4,1012,60,sunny
2025-04-16,14,8,26,3,1002,56,mostly sunny/windy
2025-04-15,14,3,10,3,996,82,cloudy/morning/evening rain/windy
2025-04-14,14,4,13,3,1004,65,mostly cloudy
